Fold,Test_Size,Test_Acc,Test_Precision,Test_Recall,Test_f1,Test_AUC,best_threshold,best_params,Optimized_Score,Optimized_Score_Type
1,71220,0.11468688570626229,0.11468688570626229,1.0,0.2057741724190054,0.49721032110802876,0.4,"{'hidden_dim': 32, 'num_layers': 2}",0.2057741724190054,f1
2,70935,0.517121308239938,0.22215723287161354,0.6258238466147393,0.32791131168448934,0.5845025801555609,0.6,"{'hidden_dim': 32, 'num_layers': 1}",0.32791131168448934,f1
3,57586,0.45335671864689336,0.21356776962480964,0.7148285449490269,0.32887751838823154,0.5554940771456034,0.4,"{'hidden_dim': 32, 'num_layers': 2}",0.32887751838823154,f1
