timestamp,BNBUSDT,BTCUSDT,ETHUSDT
2025-04-14 08:30:00,590.5,84596.0,1636.29
2025-04-14 08:35:00,590.66,84647.1,1637.12
2025-04-14 08:40:00,590.89,84821.14,1639.44
2025-04-14 08:45:00,590.19,84769.57,1637.9
2025-04-14 08:50:00,589.89,84739.14,1638.62
2025-04-14 08:55:00,590.73,84763.18,1638.28
2025-04-14 09:00:00,590.85,84821.08,1638.95
2025-04-14 09:05:00,591.11,84766.0,1640.25
2025-04-14 09:10:00,591.54,84868.75,1643.58
2025-04-14 09:15:00,591.4,84794.01,1641.35
2025-04-14 09:20:00,590.67,84625.01,1636.88
2025-04-14 09:25:00,590.13,84496.1,1633.74
2025-04-14 09:30:00,590.05,84473.2,1633.86
2025-04-14 09:35:00,589.48,84350.01,1631.68
2025-04-14 09:40:00,589.22,84368.98,1635.15
2025-04-14 09:45:00,588.94,84335.69,1635.48
2025-04-14 09:50:00,589.2,84395.32,1639.68
2025-04-14 09:55:00,589.09,84442.72,1641.34
2025-04-14 10:00:00,589.64,84478.26,1642.29
2025-04-14 10:05:00,590.19,84551.61,1648.68
2025-04-14 10:10:00,589.5,84398.88,1646.95
2025-04-14 10:15:00,590.09,84493.08,1655.5
2025-04-14 10:20:00,590.0,84505.07,1657.84
2025-04-14 10:25:00,590.38,84628.9,1662.71
2025-04-14 10:30:00,591.02,84664.99,1666.09
2025-04-14 10:35:00,590.49,84567.14,1669.0
2025-04-14 10:40:00,591.65,84792.68,1678.98
2025-04-14 10:45:00,591.99,84738.92,1675.14
2025-04-14 10:50:00,591.92,84710.05,1679.64
2025-04-14 10:55:00,592.18,84656.85,1678.83
2025-04-14 11:00:00,591.7,84573.98,1676.56
2025-04-14 11:05:00,592.36,84774.45,1684.88
2025-04-14 11:10:00,591.92,84791.49,1686.18
2025-04-14 11:15:00,591.39,84764.02,1682.6
2025-04-14 11:20:00,591.25,84780.57,1677.05
2025-04-14 11:25:00,591.82,84848.38,1675.87
2025-04-14 11:30:00,592.36,84933.0,1678.26
2025-04-14 11:35:00,591.98,84862.25,1674.01
2025-04-14 11:40:00,591.49,84826.09,1672.59
2025-04-14 11:45:00,591.96,84867.88,1674.38
2025-04-14 11:50:00,592.49,84888.05,1675.38
2025-04-14 11:55:00,592.6,84927.55,1675.32
2025-04-14 12:00:00,592.26,84891.81,1671.46
2025-04-14 12:05:00,592.19,84889.66,1671.35
2025-04-14 12:10:00,591.18,84775.94,1666.85
2025-04-14 12:15:00,591.01,84785.97,1669.67
2025-04-14 12:20:00,591.3,84898.44,1672.73
2025-04-14 12:25:00,591.44,85032.01,1673.13
2025-04-14 12:30:00,591.67,85017.91,1676.11
2025-04-14 12:35:00,591.44,85167.52,1675.21
2025-04-14 12:40:00,591.24,85146.7,1672.6
